name,day,task,time,laptop
day1_task1,day1,task1,0.4031964000000001,old
day1_task1,day1,task1,0.3879676000000001,old
day1_task2,day1,task2,0.4223555000000005,old
day1_task2,day1,task2,0.3929628999999996,old
day2_task1,day2,task1,0.4094993000000002,old
day2_task1,day2,task1,0.3714719000000004,old
day2_task2,day2,task2,0.4126820000000002,old
day2_task2,day2,task2,0.3767785000000003,old
day3_task1,day3,task1,0.4078467999999997,old
day3_task1,day3,task1,0.4048610999999997,old
day3_task2,day3,task2,0.3577617000000002,old
day3_task2,day3,task2,0.3436254000000005,old
day4_task1,day4,task1,0.4611385999999999,old
day4_task1,day4,task1,0.4570616000000012,old
day4_task2,day4,task2,0.6785625999999993,old
day4_task2,day4,task2,0.8048992000000013,old
day5_task1,day5,task1,8.932540899999998,old
day5_task1,day5,task1,8.8891497,old
day5_task2,day5,task2,14.0678698,old
day5_task2,day5,task2,14.085236700000005,old
day6_task1,day6,task1,0.9953718000000008,old
day6_task1,day6,task1,0.9864590000000036,old
day6_task2,day6,task2,0.3708779999999976,old
day6_task2,day6,task2,0.342174,old
day7_task1,day7,task1,0.8436158999999961,old
day7_task1,day7,task1,0.8394678000000013,old
day7_task2,day7,task2,20.9998049,old
day7_task2,day7,task2,20.923268000000007,old
day1_task1,day1,task1,0.2482457999999998,new
day1_task1,day1,task1,0.2364365999999997,new
day1_task2,day1,task2,0.2779582999999999,new
day1_task2,day1,task2,0.2587680999999997,new
day2_task1,day2,task1,0.2620944,new
day2_task1,day2,task1,0.2499676000000001,new
day2_task2,day2,task2,0.2369331999999997,new
day2_task2,day2,task2,0.2400598,new
day3_task1,day3,task1,0.2476439999999997,new
day3_task1,day3,task1,0.2370816000000006,new
day3_task2,day3,task2,0.2482592000000005,new
day3_task2,day3,task2,0.2392286999999999,new
day4_task1,day4,task1,0.3015983000000002,new
day4_task1,day4,task1,0.2973407999999997,new
day4_task2,day4,task2,0.4435557000000001,new
day4_task2,day4,task2,0.4429446999999999,new
day5_task1,day5,task1,4.337761599999999,new
day5_task1,day5,task1,4.464217,new
day5_task2,day5,task2,7.058789299999999,new
day5_task2,day5,task2,6.997451699999999,new
day6_task1,day6,task1,0.6537046999999987,new
day6_task1,day6,task1,0.6518662999999982,new
day6_task2,day6,task2,0.2578076999999972,new
day6_task2,day6,task2,0.2578140999999974,new
day7_task1,day7,task1,0.551463199999997,new
day7_task1,day7,task1,0.5598169999999989,new
day7_task2,day7,task2,12.5670378,new
day7_task2,day7,task2,12.5270418,new
day8_task1,day8,task1,0.0642656999999999,new
day8_task1,day8,task1,0.0739776999999999,new
day9_task1,day9,task1,0.3109140999999997,new
day9_task1,day9,task1,0.2821920000000002,new
day9_task2,day9,task2,0.3979157,new
day9_task2,day9,task2,0.4628980999999998,new
day10_task1,day10,task1,0.2607746000000004,new
day10_task1,day10,task1,0.2952778,new
day10_task2,day10,task2,0.3168005000000002,new
day10_task2,day10,task2,0.3091965999999999,new
day11_task1,day11,task1,0.3120168000000003,new
day11_task1,day11,task1,0.3204079999999996,new
day11_task2,day11,task2,0.3162896000000001,new
day11_task2,day11,task2,0.3050736999999994,new
day12_task1,day12,task1,0.0795057999999997,new
day12_task1,day12,task1,0.0746734,new
day12_task2,day12,task2,29.7379421,new
day12_task2,day12,task2,29.4115329,new
day13_task1,day13,task1,0.3096528000000091,new
day13_task1,day13,task1,0.3482518999999939,new
day13_task2,day13,task2,0.322576699999999,new
day13_task2,day13,task2,0.2852139000000022,new
day14_task1,day14,task1,0.2820117999999922,new
day14_task1,day14,task1,0.3025249000000087,new
day14_task2,day14,task2,87.0990876,new
day14_task2,day14,task2,82.94020030000001,new
day8_task1,day8,task1,0.08969990000000028,old
day8_task1,day8,task1,0.08179740000000013,old
day8_task2,day8,task2,0.1085461999999997,old
day8_task2,day8,task2,0.09238959999999974,old
day9_task1,day9,task1,0.3922017000000002,old
day9_task1,day9,task1,0.3865630999999996,old
day9_task2,day9,task2,0.6057763999999999,old
day9_task2,day9,task2,0.6109357000000006,old
day10_task1,day10,task1,0.3765337999999998,old
day10_task1,day10,task1,0.3604675999999998,old
day10_task2,day10,task2,0.3597002000000007,old
day10_task2,day10,task2,0.3743850000000002,old
day11_task1,day11,task1,0.3856628000000004,old
day11_task1,day11,task1,0.35238820000000004,old
day11_task2,day11,task2,0.4367852000000001,old
day11_task2,day11,task2,0.4249803999999999,old
day12_task1,day12,task1,0.09617669999999912,old
day12_task1,day12,task1,0.12306170000000094,old
day12_task2,day12,task2,56.53664010000001,old
day12_task2,day12,task2,57.1037214,old
day13_task1,day13,task1,0.3434668000000016,old
day13_task1,day13,task1,0.3741217999999975,old
day13_task2,day13,task2,0.34766899999999623,old
day13_task2,day13,task2,0.3632083000000108,old
day14_task1,day14,task1,0.3805940000000021,old
day14_task1,day14,task1,0.3636745000000019,old
day14_task2,day14,task2,171.165872,old
day14_task2,day14,task2,166.62853760000002,old
